,Name,LineA,LineB,LineC,Concatenated
0,Claire ," Kids, breakfast! Kids? Phil, would you get them?",,,
1,Phil ," Yeah, just a sec.",,,
2,Claire , Kids!,,,
3,Phil ," That is so,..",,,
4,Claire , Okay...,,,
5,Phil ," Kids, get down here!",,,
6,Haley ," Why are you guys yelling at us, when we're way upstairs, just text me.",,,
7,Claire ," Alright, That's not gonna happen, and, wow, you're not wearing that outfit.",,,
8,Haley , What's Wrong with it?,,,
9,Claire ," Honey, do you have anything to say to your daughter... about her skirt?",,,
10,Phil ," Sorry? Oh yeah, that looks really cute sweetheart!",,,
11,Haley , Thanks!,,,
12,Claire ," No, it's way to short, people know you're a girl, you don't need to prove it to them.",,,
13,Alex , Luke got his head stuck in the banister again.,,,
14,Phil , I got it. Where's the baby oil?,,,
15,Claire ," It's on our bedside tip... I Don't know, find it. Come on!",,,
16,Claire ," I... was out of control growing up, there, you know, i said it. I...I, I just don't want my kids to make the same bad mistakes i made. If Haley never would exhibit on a beach in Florida, half naked... I've done my job.",,,
17,Phil , Our job.,,,
18,Claire , Right... I've done our job.,,,
19,Gloria , Bravo Manny! Kick it! Kick it! Manny go! No! That was a penalty!,,,
20,Jay ," Gloria, there Owen's six, Let's take it down a notch. ",,,
21,Gloria ," We're, very different. He's from the city. He has big business. I come from a small village, very poor, but very very beautiful. It's the number one village in North-Columbia for all the... what's the word?",,,
22,Jay , Murders.,,,
23,Gloria ," Yes, the murders.",,,
24,Gloria ," Manny, stop him! Stop him!",,,
25,Boy ," Dammit, manny!",,,
26,Mom ," Come on, coach! You've gotta take that kid out!",,,
27,Gloria , You wanna take him out? How about I take you out!?,,,
28,Jay ," Honey, honey...",,,
29,Gloria , Why don't you worry about your son! He's spend the first half with his hands in his pants!,,,
30,Josh ," I've wanted to tell her that for the last six weeks... I'm Josh, Ryan's dad.",,,
31,Gloria ," Hi, I'm Gloria Pritchett... Manny's mother.",,,
32,Josh ," Oh, this must be your dad.",,,
33,Jay ," Her dad? Uh, no, no, that's funny. Actually no, I'm her husband! Don't be fooled by the... Give me a second here.",,,
34,Mitchell , Who's the good girl? Who's that?,,,
35,Old lady ," Oh, She's adorable!",,,
36,Mitchell ," Oh, thank you!",,,
37,Old lady , Hey precious...,,,
38,Mitchell ," Hello. Hi, hi. We've just adopted her from Vietnam and we're bringing her home for the first time.",,,
